Protein A	Protein B	T	S	uncertainty
O75251	Q9BRJ6	0	0.26048726	0.7705346
O95786	Q99742	0	0.64055187	0.9209807
P09622	Q16795	1	0.90252745	0.3518866
Q9H0U6	P62857	0	0.38034528	0.942731
P67870	P49005	0	0.49083397	0.9996639
Q16795	Q8TBM8	0	0.3255605	0.87828344
Q9BXW4	P30793	0	0.4765322	0.997797
O00487	Q05639	1	0.5187643	0.9985916
Q03135	O95622	1	0.7358126	0.77756965
O75569	Q96EB6	0	0.5270874	0.99706507
Q8WWV3	P78371	0	0.7547664	0.7403763
O14880	P15954	1	0.8805519	0.42072108
Q9UKX7	Q9UBB9	1	0.5457851	0.9916149
Q8N4H5	Q9NQV6	0	0.16639173	0.5548221
Q5T749	O95402	0	0.49920732	0.9999975
Q9UBX1	Q7Z2G1	0	0.19439155	0.6264139
Q96LL9	Q15800	1	0.8082371	0.6199596
Q13217	O75643	0	0.29892254	0.83827144
Q6R327	Q9BUJ2	1	0.28751045	0.8193928
Q92905	P02786	1	0.3091849	0.8543584
Q9NUH8	Q14656	1	0.7129309	0.8186417
Q9NWT8	Q92993	0	0.38278446	0.945042
Q9UGP4	Q9NXV6	0	0.17670369	0.581918
Q14241	O15514	1	0.22530355	0.69816744
O75569	Q9NVP1	1	0.44721106	0.98885334
Q9Y468	Q01814	0	0.24596204	0.7418589
O95793	Q9BUJ2	1	0.59620565	0.9629779
Q14197	Q9BZJ8	0	0.22838916	0.7049102
P29374	P14635	1	0.5153663	0.9990555
Q9BV94	Q9HBR0	1	0.7321553	0.7844156
P36544	P62854	0	0.34308276	0.90150785
O14978	P57086	1	0.52777445	0.9969143
O00746	P61970	1	0.30080223	0.841281
P30040	Q96I36	0	0.7450048	0.7598906
Q99714	O95711	0	0.48451188	0.99904054
Q12948	Q86Y39	1	0.2414343	0.7325751
Q96RE7	Q8WUU5	0	0.6577983	0.9003988
P39210	O95168	1	0.8042792	0.6296567
Q9H8E8	P17028	0	0.6296609	0.9327522
Q92793	Q12857	1	0.64483565	0.91609055
P17987	Q9BU23	0	0.49384192	0.99984837
P58417	Q96S06	0	0.7175708	0.81065184
Q9UF47	Q03135	1	0.767913	0.7128905
O94761	P42766	1	0.45755613	0.9927941
Q92522	O43918	0	0.30166224	0.84264857
Q7Z7K2	Q96K58	1	0.65228957	0.90723157
Q99598	Q14165	1	0.2779348	0.80274814
P02765	O95402	0	0.3307573	0.88542765
Q5T3I0	Q9H8H2	1	0.51376	0.99924266
Q16637	P25105	0	0.21745284	0.6806684
O75112	A7XYQ1	1	0.68801135	0.85860693
P61073	Q9GZM5	1	0.77180725	0.7044833
P35268	P62266	1	0.7440143	0.76182806
Q86VZ1	Q8NEW0	1	0.5952391	0.96371806
Q9Y2G8	O75396	1	0.84185463	0.53254163
O60925	Q9Y3C7	1	0.37063128	0.9330549
P29083	Q9Y573	0	0.31836265	0.8680315
Q8TDD1	Q8WUB8	1	0.7306258	0.78724694
Q9BX68	Q9BQ95	1	0.92443043	0.27943525
Q9Y5N1	P43119	0	0.57698154	0.97629535
Q8IWL3	Q7Z4Q2	1	0.39919963	0.9593572
P49848	P59991	0	0.50123894	0.99999386
Q05639	Q9H3R0	1	0.547925	0.9908128
Q96KC8	Q8IXK0	0	0.21716312	0.68001324
P01106	Q9UGI8	0	0.50335604	0.99995494
Q9NUH8	Q9HD34	0	0.45359844	0.9913876
Q14145	Q8TDV0	1	0.36651167	0.9287234
P61073	Q7Z7E8	0	0.37247345	0.93494785
Q8NBI6	Q9BRP1	1	0.28490233	0.814932
O43889	Q9BQC6	1	0.31027916	0.856024
Q16342	P25090	0	0.25752664	0.76482666
P30519	Q6IE81	1	0.27921897	0.80502295
P49711	Q96FF9	0	0.54216576	0.9928882
Q96IF1	Q12906	0	0.47535786	0.997571
Q9UMR3	Q9HCK5	1	0.68174857	0.86786985
P39019	Q9UL40	1	0.54461	0.9920398
P62851	O15055	0	0.47217426	0.9969029
P18509	P36969	0	0.48659897	0.99928164
O60885	O43396	1	0.4245969	0.9772575
Q16775	Q2WGJ6	0	0.4753431	0.99756813
Q7Z4Q2	P23528	0	0.54548913	0.99172294
P0C5Z0	P61247	1	0.37207773	0.9345436
Q9Y2R4	Q6ZN55	0	0.60614717	0.95493114
Q6NUN9	O14530	0	0.4581887	0.99300724
P04080	P24385	0	0.34862715	0.90834504
P49711	O14497	1	0.5277229	0.9969258
Q92993	Q9H1C4	0	0.25651717	0.7628645
P23769	Q9Y6Q9	1	0.6853258	0.8626174
