Q5S007	Q14667	0
P25054	Q12802	1
P42858	P25054	0
O94986	Q5TZA2	1
P51532	A6NHR9	0
Q69YN4	O00443	1
Q5S007	Q7Z406	1
Q15149	Q8WYP5	1
Q5VYK3	Q8NF91	1
Q14999	Q14980	1
P38398	Q14315	1
Q15149	Q8IZT6	0
P38398	O15047	1
Q8N4C6	P12270	1
P02549	Q69YN4	0
Q96JN8	Q5SW79	1
Q9UPQ9	Q96Q42	0
Q14315	Q8NI35	0
Q6UB99	P42858	0
P42694	Q15154	0
Q5VU43	Q96SN8	1
Q96N67	Q14999	0
P24928	Q15154	0
P55196	Q6XZF7	1
P12270	P52948	1
Q5S007	Q8TEQ6	1
Q96RK0	Q7KZ85	0
Q69YN4	Q8WWI1	1
P42858	Q15154	0
P38398	Q8NI27	0
Q9HCJ0	Q5S007	0
Q69YN4	Q92538	1
Q15811	P24928	0
O14578	Q96JP2	0
Q02224	P35573	0
Q69YN4	Q8NEY1	1
Q9P265	P46940	0
Q8TDY2	Q9P2K1	0
Q69YN4	O94986	1
P78527	P42345	1
P38398	P48681	0
Q07864	Q5S007	1
P42345	Q6YHU6	1
Q69YN4	Q14008	1
Q96T58	A6NHR9	0
Q15149	Q14643	1
P49792	P42858	0
Q69YN4	Q9Y6J0	1
O95071	Q9HCM3	0
Q69YN4	Q5T200	1
Q8IZT6	Q69YN4	0
P52948	Q7Z3T8	0
O14578	Q8NF91	1
Q15058	Q14315	1
Q9NZ56	Q14315	1
O14578	Q8WWI1	1
Q69YN4	Q14674	1
Q15058	Q5VYK3	0
Q5VYK3	P42345	0
Q9UPN3	Q13439	1
Q5S007	P15924	1
Q8IWT3	Q15058	0
Q13439	P78527	0
Q15058	Q9UPN3	1
O75970	Q9P219	1
P38398	Q14008	1
Q15154	Q8NEY1	1
O14578	Q8N3K9	1
Q93074	Q71F56	1
Q15058	Q7Z406	1
Q8IWJ2	P58107	0
Q14315	O94986	0
Q8IWT3	Q9HCM3	1
P49454	Q14966	0
Q7Z6Z7	Q6P2Q9	1
Q07157	Q9H792	1
Q69YN4	Q4ZG55	1
O14513	Q5VT06	1
Q9H3S7	P27708	1
P55196	A7KAX9	1
Q9UPS8	Q5VV67	0
Q14980	O75592	0
P51532	Q92614	1
Q69YN4	Q9HCM3	1
Q8WUY3	Q14204	1
O43166	O14578	0
Q7Z4S6	Q9P1Y6	1
Q69YN4	Q7Z460	1
Q69YN4	P35658	1
Q9H3S7	Q8NEV8	0
Q69YN4	Q2LD37	1
Q96JP2	P02549	0
Q9P2D1	Q86U86	1
P21359	Q9NQT8	1
P38398	Q00610	1
Q9UPX8	P46940	0
Q15058	Q12873	0
Q15154	P53804	1
Q69YN4	Q5H9F3	1
A5YKK6	P46100	1
Q69YN4	Q13233	1
O14578	P24928	1
Q9BYB0	Q76N89	1
Q9BYW2	Q9UPN3	0
Q8TEU7	P25054	0
O14578	A7KAX9	1
Q5S007	Q00610	1
O95714	O15020	0
Q15746	P78527	1
Q12873	P55196	0
O15085	Q9Y4I1	1
P42858	Q7Z460	1
P52948	Q96RK0	0
Q7Z4S6	O95359	1
O60437	O94915	0
P78527	Q6P2Q9	1
Q8IWJ2	Q6W2J9	0
Q96N67	Q7Z6Z7	0
P42345	O15020	0
Q92545	A5YKK6	1
Q9UPS6	P78527	0
Q69YN4	O60293	1
Q69YN4	Q6N021	1
Q9ULT8	O95359	1
Q92545	O43426	0
Q69YN4	Q8IVF2	1
P55196	Q13459	0
Q92614	Q14999	0
A6NHR9	Q14789	0
Q04637	Q9UPN3	0
Q9Y4A5	Q93074	1
O14578	Q8WYP5	1
O14578	Q6P2Q9	1
Q69YN4	P50748	1
Q9H7D0	Q5T011	1
Q96RK0	Q15643	0
Q96RK0	P58107	1
O14578	P21359	0
Q12873	Q6P2Q9	1
Q5S007	P52948	1
P78527	P49792	1
Q69YN4	Q14204	1
P24928	Q7Z333	1
Q69YN4	Q96N67	1
Q6P2Q9	Q00610	1
Q8N4C6	Q5T5Y3	1
Q96JN8	Q6PGP7	1
Q69YN4	Q5HYC2	1
Q8IWT3	Q9Y4I1	1
Q9P1Y6	Q7KZ85	1
Q7KZ85	Q07157	0
Q8NDV7	Q6PGP7	0
P02549	P16157	1
Q69YN4	O60333	1
Q02880	Q6ZS30	0
Q9UM73	Q9Y6R4	1
Q5T200	P24928	1
Q14999	Q5S007	0
Q8IXJ9	Q6P2Q9	1
Q96KV7	P42694	1
Q7Z460	Q7Z6E9	0
Q69YN4	Q9HCD6	1
Q9UPQ9	Q12774	0
P42694	Q8TDY2	0
Q12873	Q8NF50	0
Q12955	Q13009	1
Q6P2Q9	P46940	1
Q00610	Q9Y4F3	1
O14513	O95714	1
O95071	Q6T4R5	0
O43151	Q7Z406	0
Q6N021	Q15149	1
Q15058	O75691	1
Q07157	Q8WWI1	1
P46821	Q15811	0
Q15154	B2RTY4	1
Q69YN4	Q9Y4G6	1
Q15149	Q13535	1
Q6W2J9	O95071	0
P15924	Q8N4C6	0
O94986	B2RTY4	1
Q69YN4	O94822	1
Q8WXH0	Q8NEY1	0
Q69YN4	Q5VV67	1
Q69YN4	Q5T5P2	1
O94986	Q8TDM6	1
Q6P2Q9	Q15149	1
B2RTY4	P42858	0
Q69YN4	Q8IWJ2	0
Q14669	Q93074	0
Q15751	P42694	0
Q15058	Q9Y4I1	1
P42345	Q15058	0
Q15149	Q9HCD6	0
Q14676	P38398	1
P46940	Q12955	0
O14578	Q9Y6V0	1
Q6ZNJ1	O95071	1
Q12873	Q00610	0
Q69YN4	Q9NZJ4	1
O14578	Q8WXH0	1
O14578	Q9H254	1
Q9H4A3	Q9HBL0	1
P46940	Q8TEP8	0
Q5T5Y3	Q16363	0
Q15149	Q15058	1
Q5SW79	O43379	1
P42694	Q5VU43	0
O75691	Q92614	0
Q99996	Q6KC79	0
Q15154	O43426	0
Q15058	Q702N8	1
O15020	P25054	1
Q15058	P42356	1
Q96RK0	O94986	0
O95071	Q07157	0
Q9UM73	Q15746	1
Q8TDM6	Q07864	0
Q9Y4I1	P52948	0
Q15154	P15924	1
P38398	Q96Q89	1
Q8IZQ1	Q15751	1
Q92614	Q5T5U3	1
Q13017	Q5S007	0
Q9ULT8	Q04637	1
Q5S007	P27708	1
O43151	Q5S007	0
P55196	Q8TF72	1
Q15058	P58107	1
Q9UKK3	Q99973	1
Q9BYP7	Q00610	1
P38398	Q76N89	0
Q15058	Q9H2D6	1
O94822	O00763	1
Q6ZNJ1	Q7Z6Z7	1
Q9UPS6	Q9Y2I7	0
O95359	Q14676	0
Q7Z333	Q5S007	0
Q8TEP8	O94986	1
Q69YN4	Q15811	1
O14578	Q8NI27	1
Q8N4C6	Q14204	1
Q92614	O00443	1
Q5S007	P48681	0
Q9HCD6	O43166	1
Q93074	P24928	1
Q96RK0	Q14999	0
P46940	Q15149	1
P78527	P12270	1
O95714	O43379	1
Q96RK0	Q9UPQ9	0
Q9H7D0	Q8NI35	0
Q15154	Q8NF91	0
Q6KC79	Q9H4A3	0
Q69YN4	A2RRP1	1
Q8NI27	Q92545	1
Q69YN4	Q86UW6	1
P78527	Q8WXH0	1
Q69YN4	Q8WUY3	1
P24043	Q5S007	0
Q69YN4	Q9HD67	1
Q6ZNJ1	Q6P2Q9	0
O00443	Q9UKL3	0
O15054	Q6KC79	1
P42858	O15078	0
Q9NZN5	Q9BYB0	0
O14578	Q8IWT3	0
Q9H792	Q6XZF7	0
Q9NZN5	Q8TER5	1
Q5S007	O95255	0
Q8TDY2	Q9BZC7	0
Q14676	Q7KZ85	1
P78559	Q7Z7G8	0
Q9H4A3	Q8NDV7	1
P46940	Q6UB99	1
Q69YN4	Q96SN8	1
Q14980	Q8IZQ1	0
Q7Z406	Q9UPQ9	0
Q149N8	Q12873	1
A5YKK6	Q8NF50	0
