Protein A	Protein B	T	S	uncertainty
O75251	Q9BRJ6	0	0.4364165	0.98382854
O95786	Q99742	0	0.5931893	0.965263
P09622	Q16795	1	0.8593836	0.48337376
Q9H0U6	P62857	0	0.26611215	0.78118587
P67870	P49005	0	0.48772395	0.9993972
Q16795	Q8TBM8	0	0.3942905	0.955302
Q9BXW4	P30793	0	0.4545786	0.99174756
O00487	Q05639	1	0.7544274	0.7410669
Q03135	O95622	1	0.70720536	0.82826376
O75569	Q96EB6	0	0.6225643	0.93991196
Q8WWV3	P78371	0	0.7586698	0.73235977
O14880	P15954	1	0.98478794	0.05992261
Q9UKX7	Q9UBB9	1	0.60317326	0.9574211
Q8N4H5	Q9NQV6	0	0.21509263	0.67531115
Q5T749	O95402	0	0.512201	0.99940455
Q9UBX1	Q7Z2G1	0	0.24470401	0.73929584
Q96LL9	Q15800	1	0.8269013	0.57254213
Q13217	O75643	0	0.43803167	0.9846397
Q6R327	Q9BUJ2	1	0.3517709	0.9121126
Q92905	P02786	1	0.22322832	0.69358975
Q9NUH8	Q14656	1	0.9552854	0.17086093
Q9NWT8	Q92993	0	0.09093853	0.33067486
Q9UGP4	Q9NXV6	0	0.4994594	0.9999988
Q14241	O15514	1	0.13946363	0.4800541
O75569	Q9NVP1	1	0.4862996	0.99924916
Q9Y468	Q01814	0	0.6682986	0.8867023
O95793	Q9BUJ2	1	0.56347173	0.98388535
Q14197	Q9BZJ8	0	0.018544165	0.07280112
P29374	P14635	1	0.42168325	0.97546595
Q9BV94	Q9HBR0	1	0.8161115	0.60029405
P36544	P62854	0	0.11035512	0.39270744
O14978	P57086	1	0.4875712	0.999382
O00746	P61970	1	0.14355093	0.49177626
P30040	Q96I36	0	0.898496	0.36480385
Q99714	O95711	0	0.182498	0.5967699
Q12948	Q86Y39	1	0.19412453	0.6257608
Q96RE7	Q8WUU5	0	0.6023695	0.95808196
P39210	O95168	1	0.96667606	0.12885383
Q9H8E8	P17028	0	0.48179534	0.9986744
Q92793	Q12857	1	0.6603013	0.89721394
P17987	Q9BU23	0	0.5425872	0.99274534
P58417	Q96S06	0	0.6472551	0.91326374
Q9UF47	Q03135	1	0.8766722	0.4324722
O94761	P42766	1	0.8394648	0.53905463
Q92522	O43918	0	0.59576225	0.96331835
Q7Z7K2	Q96K58	1	0.70513517	0.8316783
Q99598	Q14165	1	0.25364676	0.75724036
P02765	O95402	0	0.42667666	0.9784948
Q5T3I0	Q9H8H2	1	0.71742535	0.81090486
Q16637	P25105	0	0.14222658	0.4879927
