Protein A	Protein B	T	S	uncertainty
O75251	Q9BRJ6	0	0.41003895	0.96762806
O95786	Q99742	0	0.45798245	0.99293816
P09622	Q16795	1	0.7868333	0.67090666
Q9H0U6	P62857	0	0.25331894	0.7565938
P67870	P49005	0	0.53338313	0.9955423
Q16795	Q8TBM8	0	0.35937926	0.9209032
Q9BXW4	P30793	0	0.4350086	0.98310447
O00487	Q05639	1	0.6714438	0.88242805
Q03135	O95622	1	0.65715086	0.9012144
O75569	Q96EB6	0	0.6243286	0.9381696
Q8WWV3	P78371	0	0.75374204	0.7424599
O14880	P15954	1	0.8948787	0.3762833
Q9UKX7	Q9UBB9	1	0.5905909	0.96717316
Q8N4H5	Q9NQV6	0	0.20624124	0.6548231
Q5T749	O95402	0	0.5319263	0.99592286
Q9UBX1	Q7Z2G1	0	0.3678239	0.9301179
Q96LL9	Q15800	1	0.7097349	0.82404506
Q13217	O75643	0	0.49164516	0.9997208
Q6R327	Q9BUJ2	1	0.31244767	0.8592965
Q92905	P02786	1	0.30154642	0.8424647
Q9NUH8	Q14656	1	0.85632634	0.49212617
Q9NWT8	Q92993	0	0.12686798	0.44308996
Q9UGP4	Q9NXV6	0	0.5710208	0.9798242
Q14241	O15514	1	0.20043601	0.6410457
O75569	Q9NVP1	1	0.57401264	0.9780885
Q9Y468	Q01814	0	0.64914656	0.91102123
O95793	Q9BUJ2	1	0.55985415	0.9856699
Q14197	Q9BZJ8	0	0.09847724	0.3551179
P29374	P14635	1	0.42169532	0.97547346
Q9BV94	Q9HBR0	1	0.6649689	0.89114106
P36544	P62854	0	0.23192626	0.7125459
O14978	P57086	1	0.5335898	0.9954869
O00746	P61970	1	0.2039324	0.6493759
P30040	Q96I36	0	0.7469463	0.75607014
Q99714	O95711	0	0.33908075	0.89642
Q12948	Q86Y39	1	0.22746941	0.7029083
Q96RE7	Q8WUU5	0	0.54610413	0.99149764
P39210	O95168	1	0.90608215	0.34038913
Q9H8E8	P17028	0	0.50716746	0.9997945
Q92793	Q12857	1	0.4783935	0.99813265
P17987	Q9BU23	0	0.5501359	0.9899456
P58417	Q96S06	0	0.5812172	0.97361505
Q9UF47	Q03135	1	0.71144086	0.82117105
O94761	P42766	1	0.64103717	0.92043406
Q92522	O43918	0	0.38216892	0.9444634
Q7Z7K2	Q96K58	1	0.6596544	0.8980419
Q99598	Q14165	1	0.37658605	0.93907595
P02765	O95402	0	0.4151605	0.971209
Q5T3I0	Q9H8H2	1	0.5927256	0.9656079
Q16637	P25105	0	0.13135177	0.45639393
O75112	A7XYQ1	1	0.55452454	0.9881083
P61073	Q9GZM5	1	0.86520064	0.46651396
P35268	P62266	1	0.92927045	0.26290753
Q86VZ1	Q8NEW0	1	0.7803867	0.6855332
Q9Y2G8	O75396	1	0.66690063	0.8885767
O60925	Q9Y3C7	1	0.40163943	0.96130073
P29083	Q9Y573	0	0.19849248	0.63637286
Q8TDD1	Q8WUB8	1	0.26080194	0.7711372
Q9BX68	Q9BQ95	1	0.8164259	0.59949857
Q9Y5N1	P43119	0	0.48953167	0.9995617
Q8IWL3	Q7Z4Q2	1	0.5767673	0.97642714
P49848	P59991	0	0.47028747	0.9964687
Q05639	Q9H3R0	1	0.31815377	0.8677278
Q96KC8	Q8IXK0	0	0.2206352	0.68782127
P01106	Q9UGI8	0	0.59400535	0.964652
Q9NUH8	Q9HD34	0	0.8282868	0.568911
Q14145	Q8TDV0	1	0.32767516	0.8812166
P61073	Q7Z7E8	0	0.7261584	0.79540956
Q8NBI6	Q9BRP1	1	0.4050039	0.96390295
O43889	Q9BQC6	1	0.52995515	0.9964107
Q16342	P25090	0	0.11042083	0.3929123
P30519	Q6IE81	1	0.2320742	0.7128631
P49711	Q96FF9	0	0.49519143	0.99990743
Q96IF1	Q12906	0	0.58443964	0.9714798
Q9UMR3	Q9HCK5	1	0.5789507	0.97506714
P39019	Q9UL40	1	0.43780982	0.98452955
P62851	O15055	0	0.2656624	0.78034353
P18509	P36969	0	0.50727344	0.9997884
O60885	O43396	1	0.4308237	0.9808586
Q16775	Q2WGJ6	0	0.23815554	0.7257499
Q7Z4Q2	P23528	0	0.490717	0.9996553
P0C5Z0	P61247	1	0.48924896	0.9995376
Q9Y2R4	Q6ZN55	0	0.34197596	0.90011364
Q6NUN9	O14530	0	0.5377158	0.9943101
P04080	P24385	0	0.44913965	0.9896529
P49711	O14497	1	0.49006453	0.9996052
Q92993	Q9H1C4	0	0.3687183	0.9310605
P23769	Q9Y6Q9	1	0.5349663	0.99510944
P29083	P41002	0	0.20254323	0.6460779
Q9Y3C7	O75879	0	0.50497824	0.9999009
Q32M92	Q96S52	1	0.74891543	0.7521644
Q7Z3K3	Q13867	0	0.626566	0.9359242
P62805	P85037	1	0.24388295	0.73761624
Q13952	Q8N4N3	0	0.44030112	0.9857442
Q7Z7K2	P54132	1	0.5857538	0.97058517
P01106	O75251	0	0.2946799	0.8313747
O75251	Q8N680	0	0.15075402	0.512109
P37837	Q6NXT4	0	0.2258234	0.69930875
Q9UM22	P54253	0	0.5276278	0.9969468
P62805	P25398	1	0.5982635	0.96137714
P49447	Q8TED1	1	0.6391744	0.92252195
Q9NR30	Q9NP80	0	0.34707138	0.9064513
O95563	P10242	0	0.09513421	0.34433478
P78371	O60756	1	0.20838599	0.65984505
Q86UK7	P07741	0	0.5053737	0.9998845
Q8N680	Q9Y221	1	0.5675288	0.9817594
Q8TDL5	P61073	0	0.4366134	0.9839285
Q16594	P56385	1	0.32993105	0.88430625
