Protein A	Protein B	T	S	uncertainty
O75251	Q9BRJ6	0	0.35141438	0.9116893
O95786	Q99742	0	0.5627554	0.984247
P09622	Q16795	1	0.9257574	0.27492252
Q9H0U6	P62857	0	0.57179767	0.97938037
P67870	P49005	0	0.48902217	0.999518
Q16795	Q8TBM8	0	0.21331151	0.67123884
Q9BXW4	P30793	0	0.3153168	0.8635685
O00487	Q05639	1	0.77241445	0.7031615
Q03135	O95622	1	0.8113489	0.6122474
O75569	Q96EB6	0	0.6644992	0.89176005
Q8WWV3	P78371	0	0.88187164	0.4166962
O14880	P15954	1	0.88993883	0.39179084
Q9UKX7	Q9UBB9	1	0.5560925	0.98741454
Q8N4H5	Q9NQV6	0	0.1910077	0.61809504
Q5T749	O95402	0	0.6796546	0.8708969
Q9UBX1	Q7Z2G1	0	0.32628098	0.8792868
Q96LL9	Q15800	1	0.8563902	0.49194416
Q13217	O75643	0	0.4389279	0.9850808
Q6R327	Q9BUJ2	1	0.3750314	0.9375314
Q92905	P02786	1	0.3099402	0.85550904
Q9NUH8	Q14656	1	0.8952218	0.3751988
Q9NWT8	Q92993	0	0.49909887	0.9999967
Q9UGP4	Q9NXV6	0	0.35279542	0.9133232
Q14241	O15514	1	0.39428368	0.9552963
O75569	Q9NVP1	1	0.38375267	0.9459462
Q9Y468	Q01814	0	0.26719034	0.78319865
O95793	Q9BUJ2	1	0.6955318	0.84706926
Q14197	Q9BZJ8	0	0.09901983	0.35685962
P29374	P14635	1	0.5249048	0.997519
Q9BV94	Q9HBR0	1	0.77438176	0.6988586
P36544	P62854	0	0.08414883	0.30827123
O14978	P57086	1	0.56235874	0.9844456
O00746	P61970	1	0.268829	0.78623986
P30040	Q96I36	0	0.87393326	0.44069567
Q99714	O95711	0	0.5447726	0.9919816
Q12948	Q86Y39	1	0.127676	0.44549933
Q96RE7	Q8WUU5	0	0.71059614	0.822597
P39210	O95168	1	0.9225135	0.2859294
Q9H8E8	P17028	0	0.70389336	0.83371
Q92793	Q12857	1	0.82926613	0.56633526
P17987	Q9BU23	0	0.77332485	0.70117414
P58417	Q96S06	0	0.61342824	0.94853616
Q9UF47	Q03135	1	0.7405873	0.768471
O94761	P42766	1	0.76049787	0.7285634
Q92522	O43918	0	0.6838849	0.8647453
Q7Z7K2	Q96K58	1	0.9406188	0.22342025
Q99598	Q14165	1	0.479435	0.99830836
P02765	O95402	0	0.34774378	0.9072722
Q5T3I0	Q9H8H2	1	0.7442333	0.76140034
Q16637	P25105	0	0.20726086	0.6572152
O75112	A7XYQ1	1	0.5586701	0.98623127
P61073	Q9GZM5	1	0.78338236	0.67877775
P35268	P62266	1	0.8435815	0.527807
Q86VZ1	Q8NEW0	1	0.8120157	0.6105848
Q9Y2G8	O75396	1	0.6476805	0.91276187
O60925	Q9Y3C7	1	0.51785314	0.99872506
P29083	Q9Y573	0	0.36640096	0.9286052
Q8TDD1	Q8WUB8	1	0.8616299	0.47689524
Q9BX68	Q9BQ95	1	0.94420755	0.21071862
Q9Y5N1	P43119	0	0.7800866	0.68620604
Q8IWL3	Q7Z4Q2	1	0.52235013	0.9980019
P49848	P59991	0	0.52207065	0.9980515
Q05639	Q9H3R0	1	0.58356345	0.9720686
Q96KC8	Q8IXK0	0	0.22691509	0.7016985
P01106	Q9UGI8	0	0.4983449	0.99998903
Q9NUH8	Q9HD34	0	0.6914268	0.8534231
Q14145	Q8TDV0	1	0.27090865	0.7900686
P61073	Q7Z7E8	0	0.6980258	0.8431431
Q8NBI6	Q9BRP1	1	0.47349903	0.9971907
O43889	Q9BQC6	1	0.5609186	0.9851557
Q16342	P25090	0	0.33811483	0.8951727
P30519	Q6IE81	1	0.21313554	0.67083514
P49711	Q96FF9	0	0.6148487	0.9472391
Q96IF1	Q12906	0	0.6037903	0.9569103
Q9UMR3	Q9HCK5	1	0.5736294	0.9783149
P39019	Q9UL40	1	0.6392285	0.9224617
P62851	O15055	0	0.727758	0.7925052
P18509	P36969	0	0.7904755	0.662496
O60885	O43396	1	0.41800958	0.97311026
Q16775	Q2WGJ6	0	0.33017778	0.88464165
Q7Z4Q2	P23528	0	0.66185284	0.8952146
P0C5Z0	P61247	1	0.57672775	0.9764514
Q9Y2R4	Q6ZN55	0	0.6589662	0.898919
Q6NUN9	O14530	0	0.6630239	0.89369285
P04080	P24385	0	0.48079833	0.99852514
P49711	O14497	1	0.53136086	0.996066
Q92993	Q9H1C4	0	0.16922699	0.5623568
P23769	Q9Y6Q9	1	0.76069534	0.72815174
P29083	P41002	0	0.44673955	0.9886533
Q9Y3C7	O75879	0	0.41231066	0.96924233
Q32M92	Q96S52	1	0.53426695	0.9953031
Q7Z3K3	Q13867	0	0.27057284	0.78945273
P62805	P85037	1	0.6347848	0.9273322
Q13952	Q8N4N3	0	0.44859844	0.9894315
Q7Z7K2	P54132	1	0.631829	0.9304844
P01106	O75251	0	0.28725234	0.81895375
O75251	Q8N680	0	0.48866233	0.9994858
P37837	Q6NXT4	0	0.28984535	0.82334006
Q9UM22	P54253	0	0.4084418	0.96646845
P62805	P25398	1	0.7299858	0.78842616
P49447	Q8TED1	1	0.7274969	0.7929806
Q9NR30	Q9NP80	0	0.3200501	0.8704721
O95563	P10242	0	0.23779681	0.724998
P78371	O60756	1	0.6368653	0.92507154
Q86UK7	P07741	0	0.34783116	0.9073786
Q8N680	Q9Y221	1	0.6694434	0.8851557
Q8TDL5	P61073	0	0.83257943	0.55756366
Q16594	P56385	1	0.13226332	0.45907894
P51946	Q9Y5N1	0	0.24102907	0.7317362
Q9NZC7	Q9UI26	0	0.44121614	0.98617786
P27449	Q96B77	1	0.28821403	0.8205868
O95793	P54709	0	0.19726636	0.6334094
P61513	Q13838	0	0.7492532	0.75149137
O94761	Q7L5N1	1	0.63928276	0.92240125
P02775	P48061	1	0.7517327	0.7465226
Q9NQE9	O00585	0	0.66436076	0.89194214
Q8WWI5	P55317	0	0.15793529	0.531967
Q8IVM8	O75915	1	0.794867	0.6522139
Q8NHZ7	Q9P2Y4	1	0.64860857	0.911662
O60762	Q9NQX1	0	0.43691987	0.9840836
O15121	Q92905	0	0.54898506	0.99040186
P49711	Q92499	0	0.6738903	0.87904865
Q96FW1	Q9Y6B2	0	0.71912605	0.8079351
P62805	P62888	0	0.6986648	0.84212923
P55769	P62847	1	0.647375	0.9131225
Q9NUH8	P61073	0	0.712115	0.8200289
Q8N4P3	P49368	0	0.67074114	0.88338983
Q9UQ35	P35372	0	0.15259561	0.51724076
P01591	Q7L5N1	0	0.4171944	0.972573
Q6P4A7	P26196	0	0.36807075	0.93037874
P35869	P35269	1	0.4791972	0.99826896
Q86YP4	Q96CB8	1	0.6430331	0.91816616
Q01664	Q9H8M2	0	0.6155582	0.9465852
P23368	P31939	1	0.83570737	0.54920226
P40429	P17987	0	0.5541734	0.988261
P41002	Q16718	1	0.34987402	0.90984875
P09669	Q9UHI5	0	0.7690547	0.71043825
P26373	O15015	1	0.80667275	0.6238073
P17040	Q15911	0	0.66760045	0.88764036
Q8N5K1	P78369	1	0.5241061	0.9976756
O60676	Q9BX68	0	0.6885256	0.8578324
P07737	Q5T0Z8	1	0.24020983	0.7300363
Q9Y2Y4	Q9UEG4	0	0.81689674	0.5983058
O60885	P49450	0	0.3245525	0.87687266
P41002	Q99941	0	0.5772653	0.9761203
P0C5Z0	P23396	1	0.5999573	0.9600342
Q8NDV2	Q99497	0	0.42488998	0.9774339
P25090	P03928	1	0.18092349	0.59276074
Q96BW9	P35269	0	0.22043633	0.6873766
Q96C86	O95139	0	0.8837082	0.41107213
Q15532	Q8ND83	0	0.61342376	0.9485402
O95793	Q92499	1	0.51118636	0.99949944
P07858	Q53GQ0	1	0.7316057	0.7854352
O15446	A2A3N6	0	0.32163087	0.8727378
O95994	P56192	1	0.77354085	0.7007016
Q9UFB7	P26373	1	0.8076517	0.6214017
O75394	Q9BYC9	1	0.30863523	0.8535181
P29371	Q15022	0	0.09902856	0.3568876
P78371	P49368	1	0.89085466	0.38893056
Q9NRE2	P62847	0	0.76009995	0.72939205
O15514	P13667	0	0.45010468	0.9900418
P82912	Q13330	0	0.30616242	0.84970796
P10109	P39748	1	0.69300693	0.8509933
Q8TBX8	P63208	1	0.48601064	0.99921715
P61604	P78334	1	0.3998766	0.9599012
O95994	P62847	1	0.4789864	0.9982338
Q13304	Q9ULD9	0	0.24725741	0.7444847
P62805	Q5SSJ5	1	0.8139466	0.60575014
O00409	Q8IYL3	0	0.5038076	0.999942
Q13105	Q13118	0	0.70083946	0.83865404
Q96HZ4	O14628	1	0.62819254	0.9342667
O95994	Q9NVP1	1	0.39171684	0.953099
O14880	Q9Y5L4	1	0.7675381	0.7136935
Q9P2Y4	Q9NX01	1	0.4854318	0.99915105
Q9NPC1	Q9H3S5	1	0.7100937	0.8234426
Q8TDD1	P62266	1	0.9130164	0.31766987
Q99612	Q9NZC7	0	0.42974302	0.9802558
